3系でおすすめの研究室はどこですか？,->栗山研がおすすめです。3系でおすすめの研究室はどこですか？->栗山研がおすすめです。3系でおすすめの研究室はどこですか
画像認識でおすすめの研究室はどこですか？,->画像認識分野では情報知能工学課程の栗山先生の研究室が人気です。なお、女性が少ない研究室もあります。学部3年生で
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。女子が少ないのはいいが、技科大は男子が主流です。学部によっては女子が多いも
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。技科大は女子が少ないのですが、技科大は男子が主流です。技科大は女
技科大の特徴は？,->女子が少ないです。女子が少ないのはいいが、技科大は男子が主流です。女子が少ないのはいいが、技科大は男子が主流です。学部によっては女子が多いも
技科大の特徴は？,answer
prompt,answer
,answer
,answer
prompt,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answer
,answerほげほげ
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
prompt,answeransweranswer
prompt,answeransweranswer
prompt,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
,answeransweranswer
こんにちは,こんにちは
こんにちは,こんにちは私はBERTモデルモードのChatTUTです
あなたの名前は何ですか,ChatTUTです!
あなたの名前は何ですか,ChatTUTです!
あなたの名前は何ですか,ChatTUTです!
技科大の特徴は？,女子が少ないことです!
あなたの名前は何ですか,ChatTUTです!
こんにちは,answer
こんにちは,です!
こんにとは,です!
あなたの名前は何ですか,ChatTUTです!
こんにちは,ChatTUTです!
こんにちは,ChatTUTです!
技科大の特徴は,女子が少ないことです!
あなたの名前は何ですか,ChatTUTです!
こんにちは,ChatTUTです!
